	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 11	MKR11_NEGATIVE-TENSE_FINECUT_021_AA_FULL.wav	MY KITCHEN RULES SERIES 11 AA (BACKGROUND) 	50 AMMAR Anthony/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Negative and tense tasting track with percussive ticking and pulse. Has a rising momentum towards the end with strings and brass.	95	Tasting, bad outcome judging scenes.building with big end	#taste #tense #judge #judging #fail #neutral
SERIES 11	MKR11_NEUTRAL-TENSE_SAUCE_022_AA_FULL.wav	MY KITCHEN RULES SERIES 11 AA (BACKGROUND) 	50 AMMAR Anthony/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Neutral - tense track, sense of ticking and time passing. Pizz strings with light ticking	105	Tasting, neutral judging scenes. Light and space	#taste #tense #judge #judging #fail #neutral
SERIES 11	MKR11_TASTING_KNIFE_902_RL_FULL	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Darker tasting track. Lots of tension, suspended notes, building tension, anxiety	120	First try of a dish, contestants anxiously awaiting a result, fellow contestants trying a dish without any indication of their eventual response	#tasting #anxious #light #neutral #ticking #judging
SERIES 11	MKR11_NEGATIVE_DANGER_916_RL_FULLMIX.01_01-03	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tense and Anxiety driven action track. This track starts tense and continues to build. Plucking strings, and a brooding piano lay a bed, whilst a aggressive orchestra build on top, layering to a huge cinematic climax. 	140	All hope is lost. This is a negative tension track when things are going wrong. We thought we were in the clear, but now the tables have turned. Great for the middle of a challenge pushing towards the end. It will heighten the drama, and propel our heroes into the furnace. Things are not good. 	#tension #worry #losing #negative #cinematic #dark #intense #epic #battle #challenge #failure
SERIES 11	MKR11_LONG_RISEnHIT_BR.01.01_01-10	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING				
SERIES 11	MKR11_KNIFE_SCRAPE_BRCopy.0101_01-03	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING				
SERIES 11	MKR11_LONG_RISEnHIT_BR	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING				
SERIES 11	MKR11_KNIFE_SCRAPE_BR	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING				
SERIES 11	MKR11_LONG_RISEnHIT_BR	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING				
SERIES 11	MKR11_NEGATIVE_DANGER_916_RL_FULLMIX01	MY KITCHEN RULES SERIES 11 RL (BACKGROUND) 	50 LABROOY Richard/ 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING				
SERIES 11	MKR11_LONG_RISEnHIT_BR01	MY KITCHEN RULES SERIES 11 BR (BACKGROUND) 	50 BRUGGEMANN David / 10 STEWART Mitch/ 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING				
SERIES 11	MKR11_MARVELSTYLE_RISER_MS.wav.new	MY KITCHEN RULES SERIES 11 MS (BACKGROUND) 	50  STEWART Mitch/ 25 WICKS Dinesh/ 25  GOCK Adam		RED MUSIC PUBLISHING				
									
SERIES 12	MKRS12_CHARACTER_N&J_SMOOTH_509_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Team / character tracks, cooking		Character Tracks	
SERIES 12	MKRS12_COOKING_MEDIUMHEAT_512_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_COOKING_MORESEASONING_505_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOKING_NEUTRAL_TOGETHER_518_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_COOKING_TENSION_FASTAPASTA_519_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_COOKING_TENSION_OVERCOOKED_520_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_COOKING_TENSION_PRESSURECOOKER_517_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Cooking jeopardy so they should have a sense of mystery or concern about them. Not too busy, not too driving.		Cook with sense of underlying tension	
SERIES 12	MKRS12_FUN_MIXITUP_503_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through		Quirky / Fun	
SERIES 12	MKRS12_LIGHTTENSION_DEADLINE_501_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_LIGHTTENSION_TASTETEST_507_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_NEUTRAL TASTING_CONSTRUCTIVECRITICISM_513_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL_COOKING_BAKEIT_515_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_COOKING_CHOPCHOP_516_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_FEEDBACK_510_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_NEUTRAL_HELPFUL_511_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_NEUTRAL_INGREDIENTS_502_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks that bubble along and don’t get in the way of dialogue (could be slightly positive or very slightly negative). Can still have an element of warmth.		Neutral	
SERIES 12	MKRS12_NEUTRAL_LIVETOEAT_506_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_REFLECTIVE_FRESH_514_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_TASTING_MEALPREP_504_TR_FULL.wav	MY KITCHEN RULES SERIES 12 TR (BACKGROUND) 	TR 50 ROUCH Tom/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_CHARACTER-INTRO_ARNOTT_AND_FUZZ_013_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Team / character tracks, cooking		Character Tracks	
SERIES 12	MKRS12_COOK_CHILLED_MOTION_016_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_COOK_GROOVE_MACHINE_011_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_COOK_OVERLOAD_004_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOK_SKIP_AHEAD_003_v3_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOK_STEP_UP_YOUR_GAME_008_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOK-LIGHT_SIMMERING_TENSION_021_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Cooking jeopardy so they should have a sense of mystery or concern about them. Not too busy, not too driving.		Cook with sense of underlying tension	
SERIES 12	MKRS12_COOK-NEUTRAL_SMOOTH_FLOW_022_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_NEGATIVE_TO_POSITIVE_HEARTFELT_ENDING_002_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive and Negative tracks that we’ve designed to blend from one emotion to the other. I’d suggest it may be more useful to the editors for us to separate these tracks and give them one clear emotion. Then rather than 45 seconds of pos, they can have 90 seconds and we can design a negative track that works with it. Should give the editors more options if we stay in a mood longer and provide more gear changes. 		Positive to Negative or  Negative to Positive	
SERIES 12	MKRS12_NEUTRAL_IM_NOT_SCARY_015_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL_SIMPLY_SUBTLE_010_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_NEUTRAL_SUMMER_BREEZE_007_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_NEUTRAL_WARM_ADVICE_014_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_NEUTRAL_WARMTH_AND_MOVEMENT_017_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_NEUTRAL-COOK_HAPPY_VIBES_020_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL-COOK_MORE_BUTTER_019_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL-TENSE_KIND_CRITIQUE_018_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_POSITIVE_REFLECT_JOY_005_v4_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Anthemic, big sound, long strings to push the emotion. Based on Eurovision refs. 		Positive Result	
SERIES 12	MKRS12_QUIRKY_CATnMOUSE_012_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through.		Quirky / Fun	
SERIES 12	MKRS12_TASTE_WARM_UNKNOWN_009_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_TENSE-LIGHT_RAW_006_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_TENSE-LIGHT_UNREADABLE_001_V3_AA_FULL.wav	MY KITCHEN RULES SERIES 12 AA (BACKGROUND) 	AA 50 AMMAR Anthony/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_COOK_BOILING POINT_603_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_COOK_RIGHT ON TIME_608_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_LIGHT TENSE_FOOD FOR THOUGHT_607_V2_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_MATT & KT_SPICE_611_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Team / character tracks, cooking		Character Tracks	
SERIES 12	MKRS12_MATT & KT_SPICE_611v2_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Team / character tracks, cooking		Character Tracks	
SERIES 12	MKRS12_NEUTRAL COOK_KITCHEN FLOW_614_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_NEUTRAL COOK_RIGHT ON TIME_617_V2_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL COOK_SHAKE N BAKE_612_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_NEUTRAL COOK_STIRFRY_616_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL COOK_YES CHEF_619_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL POS_BALANCED FLAVOURS_615_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL POS_KEEPING COOL_613_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL POS_SWEET & SAVOURY_610_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_NEUTRAL_PATIENCE_601_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks that bubble along and don’t get in the way of dialogue (could be slightly positive or very slightly negative). Can still have an element of warmth.		Neutral	
SERIES 12	MKRS12_POS COOKING_PERFECT TIMING_604_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_QUIRKY_KITCHEN ANTICS_609_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through.		Quirky / Fun	
SERIES 12	MKRS12_QUIRKY_TASTE TESTING_602_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through		Quirky / Fun	
SERIES 12	MKRS12_REFLECT_WARM_MOMENT_606_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_TENSE COOK_BAD PREP_621_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_TENSE COOK_BAD TIMING_618_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Cooking jeopardy so they should have a sense of mystery or concern about them. Not too busy, not too driving.		Cook with sense of underlying tension	
SERIES 12	MKRS12_TENSE COOK_FALLING APART_620_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
